Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Days,marital_Divorced,marital_Married,marital_Single,marital_Together,marital_Widow,education_2n Cycle,education_Basic,education_Graduation,education_Master,education_PhD,MntTotal,MntRegularProds,AcceptedCmpOverall,Marital,In_relationship,Cluster,PCA1,PCA2
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,63,2822,0,0,1,0,0,0,0,1,0,0,1529,1441,0,Single,0,2,1.4557892060174877,1.319249474867533
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,66,2272,0,0,1,0,0,0,0,1,0,0,21,15,0,Single,0,1,-0.8112906658779212,1.3663612005366765
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,55,2471,0,0,0,1,0,0,0,1,0,0,734,692,0,Together,1,0,0.8814510836294237,-0.7668247601540279
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,36,2298,0,0,0,1,0,0,0,1,0,0,48,43,0,Together,1,3,-1.503761707100132,-0.7023954110065267
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,39,2320,0,1,0,0,0,0,0,0,0,1,407,392,0,Married,1,3,0.021900996382543322,-0.7449233963221605
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,53,2452,0,0,0,1,0,0,0,0,1,0,702,688,0,Together,1,0,0.5307899154647616,-0.7562164019902334
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,49,2752,1,0,0,0,0,0,0,1,0,0,563,536,0,Divorced,0,1,0.17625367824690413,1.343943190150249
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,35,2576,0,1,0,0,0,0,0,0,0,1,146,123,0,Married,1,3,-1.1498839978319149,-0.7120166888502988
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,2547,0,0,0,1,0,0,0,0,0,1,44,42,0,Together,1,3,-1.3820396075604608,-0.7063271358390613
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,70,2267,0,0,0,1,0,0,0,0,0,1,36,23,1,Together,1,3,-2.2364703788841,-0.6793237284547915
